user_id,wake_session_id,challenge_attempt_id,alarm_id,timestamp,user_total_wake_sessions,user_successful_wake_sessions,user_failed_wake_sessions,user_historical_success_rate,user_avg_completion_time_seconds,user_avg_attempts_per_session,user_avg_snooze_count,user_total_snooze_count,user_recent_snooze_count,user_recent_challenge_success_rate,challenge_type_total_attempts,challenge_type_successful_attempts,challenge_type_success_rate,challenge_type_avg_completion_time,challenge_type_avg_attempts_per_session,challenge_type_easy_attempts,challenge_type_easy_success_rate,challenge_type_medium_attempts,challenge_type_medium_success_rate,challenge_type_hard_attempts,challenge_type_hard_success_rate,current_session_snooze_count,current_session_snooze_duration_minutes,current_session_wake_delay_seconds,alarm_scheduled_hour,alarm_scheduled_minute,alarm_day_of_week,alarm_is_weekend,historical_snooze_avg_around_alarm_time,selected_challenge_type,user_selected_difficulty,is_adaptive_preference,target_is_successful,target_duration_seconds,target_verification_score,target_attempt_number
1001,1,1,2000,2026-01-01T07:00:00+00:00,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,29.5913483042781,7,0,3,0,0.0,dance,adaptive,1,1,18.57,0.886,1
1001,2,2,2000,2026-01-02T07:00:00+00:00,1,1,0,1.0,18.57,1.0,0.0,0,0,1.0,1,1,1.0,18.57,1.0,0,0.0,1,1.0,0,0.0,1,5,350.428423048269,7,0,4,0,0.0,dance,adaptive,1,0,16.93,0.209,1
1001,3,3,2000,2026-01-03T07:00:00+00:00,2,1,1,0.5,18.57,1.0,0.5,1,1,0.5,2,1,0.5,18.57,1.0,0,0.0,2,0.5,0,0.0,1,5,374.7544365342261,7,0,5,1,0.5,dance,hard,0,0,14.66,0.287,1
1001,4,4,2000,2026-01-04T07:00:00+00:00,3,1,2,0.3333,18.57,1.0,0.6667,2,1,0.3333,3,1,0.3333,18.57,1.0,0,0.0,2,0.5,1,0.0,1,5,338.71835043877024,7,0,6,1,0.6667,dance,medium,0,1,4.73,0.816,1
1001,5,5,2000,2026-01-05T07:00:00+00:00,4,2,2,0.5,11.65,1.0,0.75,3,1,0.5,4,2,0.5,11.65,1.0,0,0.0,3,0.6667,1,0.0,0,0,87.84926111834965,7,0,0,0,0.75,dance,hard,0,1,3.09,0.905,1
1001,6,6,2000,2026-01-06T07:00:00+00:00,5,3,2,0.6,8.7967,1.0,0.6,3,0,0.6,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,13.665950692452977,7,0,1,0,0.6,push_ups,easy,0,1,8.98,0.822,1
1001,7,7,2000,2026-01-07T07:00:00+00:00,6,4,2,0.6667,8.8425,1.0,0.5,3,0,0.6,5,3,0.6,8.7967,1.0,0,0.0,3,0.6667,2,0.5,0,0,40.41009800313329,7,0,2,0,0.5,dance,easy,0,1,13.5,0.839,1
1001,8,8,2000,2026-01-08T07:00:00+00:00,7,5,2,0.7143,9.774,1.0,0.4286,3,0,0.8,6,4,0.6667,9.9725,1.0,1,1.0,3,0.6667,2,0.5,0,0,23.69109185584776,7,0,3,0,0.4286,dance,adaptive,1,1,9.43,0.791,1
1001,9,9,2000,2026-01-09T07:00:00+00:00,8,6,2,0.75,9.7167,1.0,0.375,3,0,1.0,7,5,0.7143,9.864,1.0,1,1.0,4,0.75,2,0.5,0,0,77.42815361518477,7,0,4,0,0.375,dance,easy,0,1,12.17,0.829,1
1001,10,10,2000,2026-01-10T07:00:00+00:00,9,7,2,0.7778,10.0671,1.0,0.3333,3,0,1.0,8,6,0.75,10.2483,1.0,2,1.0,4,0.75,2,0.5,0,0,55.37440411828018,7,0,5,1,0.3333,dance,easy,0,1,13.27,0.803,1
1001,11,11,2000,2026-01-11T07:00:00+00:00,10,8,2,0.8,10.4675,1.0,0.3,3,0,1.0,9,7,0.7778,10.68,1.0,3,1.0,4,0.75,2,0.5,2,10,653.1181831733833,7,0,6,1,0.3,dance,hard,0,1,6.04,0.84,1
1001,12,12,2000,2026-01-12T07:00:00+00:00,11,9,2,0.8182,9.9756,1.0,0.4545,5,2,1.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,3,15,973.3663491490371,7,0,0,0,0.4545,math,hard,0,1,14.88,0.766,1
1001,13,13,2000,2026-01-13T07:00:00+00:00,12,10,2,0.8333,10.466,1.0,0.6667,8,3,1.0,10,8,0.8,10.1,1.0,3,1.0,4,0.75,3,0.6667,0,0,87.68627020908946,7,0,1,0,0.6667,dance,hard,0,1,19.97,0.92,1
1001,14,14,2000,2026-01-14T07:00:00+00:00,13,11,2,0.8462,11.33,1.0,0.6154,8,0,1.0,11,9,0.8182,11.1967,1.0,3,1.0,4,0.75,4,0.75,0,0,37.21403784248362,7,0,2,0,0.6154,dance,medium,0,1,12.58,0.79,1
1001,15,15,2000,2026-01-15T07:00:00+00:00,14,12,2,0.8571,11.4342,1.0,0.5714,8,0,1.0,12,10,0.8333,11.335,1.0,3,1.0,5,0.8,4,0.75,0,0,70.95697592416516,7,0,3,0,0.5714,dance,medium,0,1,17.5,0.96,1
1001,16,16,2000,2026-01-16T07:00:00+00:00,15,13,2,0.8667,11.9008,1.0,0.5333,8,0,1.0,13,11,0.8462,11.8955,1.0,3,1.0,6,0.8333,4,0.75,0,0,71.00086400601211,7,0,4,0,0.5333,dance,easy,0,1,16.34,0.945,1
1001,17,17,2000,2026-01-17T07:00:00+00:00,16,14,2,0.875,12.2179,1.0,0.5,8,0,1.0,14,12,0.8571,12.2658,1.0,4,1.0,6,0.8333,4,0.75,0,0,49.08845664231583,7,0,5,1,0.5,dance,adaptive,1,1,3.0,0.952,1
1001,18,18,2000,2026-01-18T07:00:00+00:00,17,15,2,0.8824,11.6033,1.0,0.4706,8,0,1.0,15,13,0.8667,11.5531,1.0,4,1.0,7,0.8571,4,0.75,0,0,85.75595562383953,7,0,6,1,0.4706,dance,easy,0,1,23.02,0.871,1
